{{{0, 0, 0, 1}, {0, 1, 0, -1}, {1, 0, 0, 0}}, 1}
{{{0, 0, -1, 1}, {1, 0, 0, 0}, {-1, 0, 1, 0}}, 2}
{{{0, 0, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, 1}}, 3}
{{{0, 0, 1, -1}, {1, 0, 0, 1}, {1, 0, 0, 0}}, 4}
{{{0, -1, 0, 1}, {0, 1, 1, -1}, {1, 0, 0, 0}}, 5}
{{{0, 0, -1, 1}, {1, 0, 0, 0}, {0, 0, 1, -1}}, 6}
{{{1, 0, 0, 0}, {0, -1, 1, 1}, {-1, 1, 0, 0}}, 7}
{{{0, 1, -1, 1}, {1, 0, 0, 0}, {1, 0, 1, 0}}, 8}
{{{-1, -1, 0, 1}, {0, 0, 0, 0}, {-1, -1, 0, 1}}, 9}
{{{0, 0, -1, 1}, {1, 0, 1, -1}, {-1, -1, 1, 0}}, 10}
{{{-1, 0, 1, 1}, {0, -1, 0, 1}, {0, -1, 1, 1}}, 11}
{{{1, 0, 0, 0}, {-1, 0, 0, 1}, {0, -1, -1, 1}}, 12}
{{{0, 0, -1, 1}, {-1, 0, 0, 1}, {0, 0, 1, 0}}, 13}
{{{1, 0, 1, 0}, {-1, 0, 0, 1}, {0, -1, -1, 1}}, 14}
{{{0, 1, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, 0}}, 15}
{{{1, 1, -1, 0}, {1, 1, 1, 0}, {0, -1, 1, 0}}, 16}
{{{-1, -1, 1, -1}, {0, 0, 1, 0}, {-1, 1, -1, 1}}, 17}
{{{0, -1, 1, 1}, {1, 0, 0, 0}, {0, 1, -1, 0}}, 18}
{{{-1, 0, 0, 1}, {0, -1, 0, 1}, {0, 1, -1, 1}}, 19}
{{{1, -1, 1, 0}, {0, 1, 0, -1}, {0, -1, 1, 1}}, 20}
{{{1, 0, -1, 0}, {0, -1, 1, -1}, {-1, -1, 1, 0}}, 21}
{{{0, 0, -1, 1}, {-1, 0, 0, 1}, {-1, 0, 1, 0}}, 22}
{{{0, 1, -1, 1}, {1, 0, 0, 0}, {0, -1, 1, -1}}, 23}
{{{-1, -1, 0, 1}, {0, 1, 0, -1}, {1, 0, 0, 0}}, 24}
{{{1, 0, 0, 1}, {0, 1, 0, 0}, {0, -1, 1, 1}}, 25}
{{{-1, 0, -1, 1}, {0, -1, 0, 1}, {1, 0, 0, 0}}, 26}
{{{-1, 1, 0, -1}, {0, 1, -1, 0}, {-1, 0, 1, -1}}, 27}
{{{-1, 0, 0, 1}, {1, -1, 0, 1}, {1, -1, -1, 1}}, 28}
{{{0, 1, 1, -1}, {0, -1, 0, 1}, {1, 0, 0, 0}}, 29}
{{{0, 0, 1, 1}, {0, 1, -1, -1}, {1, -1, 0, 1}}, 30}
{{{1, 1, 0, -1}, {-1, 1, 1, 0}, {-1, 1, 0, 0}}, 31}
{{{1, 1, -1, 0}, {1, 1, 0, 0}, {0, -1, 1, 1}}, 32}
{{{0, 0, -1, 1}, {1, 0, 1, -1}, {0, 0, 1, -1}}, 33}
{{{1, 0, -1, 0}, {0, -1, 1, 1}, {0, 1, -1, 1}}, 34}
{{{-1, -1, 1, 0}, {1, 0, 0, 0}, {1, -1, 1, 1}}, 35}
{{{0, 1, 1, -1}, {1, 0, 0, 0}, {-1, 0, 1, 0}}, 36}
{{{-1, 0, 1, 0}, {0, -1, 1, -1}, {1, 0, -1, 0}}, 37}
{{{1, 1, 1, -1}, {0, -1, 0, 1}, {1, -1, 0, 0}}, 38}
{{{0, -1, 0, 1}, {-1, 1, 1, -1}, {1, 0, 0, 0}}, 39}
{{{1, 1, -1, 0}, {-1, 1, 0, 0}, {1, -1, 1, 1}}, 40}
{{{0, -1, 0, 1}, {-1, 1, 0, -1}, {1, 0, 0, 0}}, 41}
{{{-1, 0, 1, 1}, {0, -1, 1, 1}, {-1, -1, 1, 0}}, 42}
{{{-1, -1, 0, 1}, {0, 1, 0, 0}, {-1, -1, 0, 1}}, 43}
{{{1, 0, 1, 1}, {0, 1, -1, -1}, {1, -1, 0, 1}}, 44}
{{{-1, 0, 1, 1}, {-1, -1, 1, 1}, {0, -1, 1, 0}}, 45}
{{{1, 0, 0, 1}, {-1, 1, 1, -1}, {0, -1, 1, 0}}, 46}
{{{0, -1, 1, 1}, {0, -1, 1, 1}, {0, 1, 0, 0}}, 47}
{{{1, -1, 0, 1}, {0, 1, 1, -1}, {1, 0, 0, 0}}, 48}
{{{0, 0, -1, 1}, {1, -1, 1, 0}, {0, 0, 1, 1}}, 49}
{{{1, 0, 0, 0}, {1, 1, 1, -1}, {-1, 1, 0, 0}}, 50}
{{{0, 0, 1, 0}, {1, 0, 0, 0}, {1, 1, -1, 0}}, 51}
{{{0, 1, -1, -1}, {0, 1, -1, -1}, {1, 1, -1, 0}}, 52}
{{{0, 0, 1, 1}, {0, 1, 1, -1}, {1, 0, -1, 0}}, 53}
{{{0, 0, 1, 0}, {1, 0, 1, 0}, {0, 1, -1, 0}}, 54}
{{{0, 0, -1, 1}, {1, 0, 0, 0}, {-1, -1, 1, 0}}, 55}
{{{1, 0, 0, 1}, {-1, 0, 0, 1}, {1, -1, -1, 1}}, 56}
{{{0, 1, -1, 1}, {1, -1, 1, 0}, {0, -1, 1, 0}}, 57}
{{{-1, 1, 0, -1}, {-1, 1, -1, 0}, {-1, 0, 1, -1}}, 58}
{{{-1, 0, 1, -1}, {0, -1, 1, -1}, {1, 0, 0, 0}}, 59}
{{{1, 0, 1, 1}, {-1, 1, 0, -1}, {1, 0, -1, 1}}, 60}
{{{1, 1, -1, 0}, {-1, 1, -1, 1}, {1, 0, 0, 0}}, 61}
{{{1, 1, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, 0}}, 62}
{{{1, 0, -1, 1}, {0, 0, -1, 1}, {1, -1, -1, 1}}, 63}
{{{-1, -1, 0, 1}, {0, 1, -1, -1}, {-1, -1, -1, 1}}, 64}
{{{1, 0, -1, 0}, {0, -1, 1, -1}, {-1, -1, 1, 1}}, 65}
{{{-1, -1, 1, -1}, {0, 1, 0, 1}, {-1, 1, -1, 1}}, 66}
{{{1, 0, 0, 1}, {-1, 1, 0, -1}, {0, -1, 1, 0}}, 67}
{{{0, 1, -1, 1}, {1, -1, 0, 0}, {1, 0, 1, 0}}, 68}
{{{1, 1, -1, 1}, {0, 1, -1, 1}, {1, 0, 0, 0}}, 69}
