{{{0, 0, 0, 1}, {0, 1, 0, -1}, {1, 0, 0, 0}}, 1, 8.754887502163468}
{{{0, 0, -1, 1}, {1, 0, 0, 0}, {-1, 0, 1, 0}}, 2, 13.509775004326936}
{{{0, 0, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, 1}}, 3, 14.754887502163468}
{{{0, 0, 1, -1}, {1, 0, 0, 1}, {1, 0, 0, 0}}, 4, 13.509775004326936}
{{{0, -1, 0, 1}, {0, 1, 1, -1}, {1, 0, 0, 0}}, 5, 20.75488750216347}
{{{0, 0, -1, 1}, {1, 0, 0, 0}, {0, 0, 1, -1}}, 6, 14.754887502163468}
{{{1, 0, 0, 0}, {0, -1, 1, 1}, {-1, 1, 0, 0}}, 7, 19.509775004326936}
{{{0, 1, -1, 1}, {1, 0, 0, 0}, {1, 0, 1, 0}}, 8, 19.509775004326936}
{{{-1, -1, 0, 1}, {0, 0, 0, 0}, {-1, -1, 0, 1}}, 9, 25.219280948873624}
{{{0, 0, -1, 1}, {1, 0, 1, -1}, {-1, -1, 1, 0}}, 10, 33.87430298092722}
{{{-1, 0, 1, 1}, {0, -1, 0, 1}, {0, -1, 1, 1}}, 11, 35.11941547876375}
{{{1, 0, 0, 0}, {-1, 0, 0, 1}, {0, -1, -1, 1}}, 12, 20.36452797660028}
{{{0, 0, -1, 1}, {-1, 0, 0, 1}, {0, 0, 1, 0}}, 13, 14.754887502163468}
{{{1, 0, 1, 0}, {-1, 0, 0, 1}, {0, -1, -1, 1}}, 14, 26.36452797660028}
{{{0, 1, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, 0}}, 15, 14.754887502163468}
{{{1, 1, -1, 0}, {1, 1, 1, 0}, {0, -1, 1, 0}}, 16, 35.019550008653866}
{{{-1, -1, 1, -1}, {0, 0, 1, 0}, {-1, 1, -1, 1}}, 17, 41.019550008653866}
{{{0, -1, 1, 1}, {1, 0, 0, 0}, {0, 1, -1, 0}}, 18, 21.11941547876375}
{{{-1, 0, 0, 1}, {0, -1, 0, 1}, {0, 1, -1, 1}}, 19, 28.264662506490403}
{{{1, -1, 1, 0}, {0, 1, 0, -1}, {0, -1, 1, 1}}, 20, 35.11941547876375}
{{{1, 0, -1, 0}, {0, -1, 1, -1}, {-1, -1, 1, 0}}, 21, 33.50977500432693}
{{{0, 0, -1, 1}, {-1, 0, 0, 1}, {-1, 0, 1, 0}}, 22, 20.}
{{{0, 1, -1, 1}, {1, 0, 0, 0}, {0, -1, 1, -1}}, 23, 27.974168451037094}
{{{-1, -1, 0, 1}, {0, 1, 0, -1}, {1, 0, 0, 0}}, 24, 20.36452797660028}
{{{1, 0, 0, 1}, {0, 1, 0, 0}, {0, -1, 1, 1}}, 25, 21.609640474436812}
{{{-1, 0, -1, 1}, {0, -1, 0, 1}, {1, 0, 0, 0}}, 26, 19.509775004326936}
{{{-1, 1, 0, -1}, {0, 1, -1, 0}, {-1, 0, 1, -1}}, 27, 33.219280948873624}
